User-ID,Age,total_ratings,explicit_ratings,avg_rating,rating_std,unique_books,author_diversity,avg_book_year,recency_score,explicit_ratio,exploration_score,tags,book_history,review_history
17,,6.0,4.0,3.5,3.0166206257996713,6.0,0.8333333333333334,1992.5,31.5,0.6666666666666666,0.5819482811833608,Fiction|Literary|Romance,0312978383|0425099148|0553264990|0553278398|0891075275|0891076182,"[0, 7, 5, 0, 6, 3]"
99,42.0,7.0,5.0,5.142857142857143,4.099941927579439,7.0,1.0,1999.7142857142858,24.28571428571422,0.7142857142857143,0.5900058072420561,Fiction|Historical|Romance,0312252617|0312261594|0316748641|0446677450|0451166892|067976397X|0786868716,"[8, 8, 7, 10, 3, 0, 0]"
114,57.0,7.0,7.0,8.571428571428571,0.9759000729485331,7.0,0.8571428571428571,2001.142857142857,22.85714285714289,1.0,0.7734942794615542,Fiction|Thrillers|Suspense,0312953453|0446608653|0446612545|0446612618|0451208080|0553584383|0671027360,"[7, 9, 9, 8, 8, 9, 10]"
165,62.0,5.0,3.0,3.6,3.7815340802378077,5.0,1.0,1998.0,26.0,0.6,0.6218465919762193,Fiction|Thrillers|LATIN AMERICA_FICTION,0060929790|0060976845|0061099325|0446612545|0671004573,"[0, 9, 4, 5, 0]"
243,,73.0,16.0,1.643835616438356,3.2161478986414904,73.0,0.684931506849315,1998.3424657534247,25.657534246575324,0.2191780821917808,0.4646474042026376,Fiction|Thrillers|Literary,0060915544|0060977493|0156006529|0312169787|0316096199|0316601950|0316602906|0316666343|0316693006|0316776963|0316899984|0345311396|0345378490|0345404793|0345409051|0345433173|0345465083|0373483880|0375400117|0375705856|0375727345|0380717018|0380718332|038076654X|0380807866|0385316895|0385497466|0385508042|0385509456|0385511612|0385720106|0385730586|0425092917|042511774X|0425163407|0425164403|0440224764|0440225701|0440226430|0440234743|0440234964|044023722X|0446353205|0446358592|0446360856|0446364800|0446600466|0446600474|0446605484|0446606383|0446610399|0446612790|0449006522|0449911004|0451162072|0451186648|0452282152|051512219X|0515130389|051513290X|0517122707|0553580388|0590629719|0671023616|0671027387|0671042572|0679450408|0684848783|0743486226|0786863986|0804117934|140003180X|155874262X,"[10, 7, 0, 0, 0, 9, 0, 0, 0, 9, 7, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 7, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 9, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5]"
244,,8.0,8.0,7.625,1.1877349391654208,8.0,0.875,1997.625,26.375,1.0,0.7710731928230257,Fiction|Literary|Psychological,0060977493|0060987103|0151008116|0375704965|0525947647|0804111359|155874262X|1558744150,"[7, 8, 9, 8, 9, 8, 6, 6]"
254,24.0,157.0,33.0,1.7006369426751593,3.357855252895175,157.0,0.6942675159235668,1996.28025477707,27.719745222929987,0.21019108280254778,0.46114253339772354,Fiction|Romance|Fantasy,006000438X|0060013117|0060199563|0060391448|0060563079|0060930535|0060934700|0060934719|0060976977|0061020699|0061020702|0061020710|0061092819|0061094595|0062502174|0064401774|0064471047|0064472264|0066238501|014028009X|0140298479|0140620664|014100018X|0141301066|0141301104|0142001740|014230218X|0304345350|0312156960|0312305060|0312868332|0312875681|0312890044|0316569321|0316769487|0316776963|0340718153|0345350499|0345384466|0345387651|0345434803|0373218400|0373226063|0373226071|0373226144|0373708130|0373708149|0373834489|0373834543|0375503269|0375713549|0375724370|0375727345|0375751513|037582345X|0380730448|0380789019|0380789035|0380810492|0380817845|0380973634|0380973650|0380977281|0380977788|038533348X|038542017X|0399146431|0399501487|0413537900|0425092917|0425145638|0425177009|0439064864|0439064872|0439136350|0439136369|0439139597|043935806X|0439510112|044018293X|0440211263|0440241413|0440403278|0440419468|0440967694|0441003257|0441008615|0441172695|0441569595|0446350109|0446354678|0446356832|0446363499|0446364762|0446527785|0446605239|0448060043|0449226182|0451137965|0451150244|0451167317|0451167716|0451406176|0451408845|0451409256|0451523415|0451524934|0451526279|0451526341|0452277337|0452282152|0515090379|051510521X|051512317X|0515130923|051513287X|0553250426|0553250531|0553265741|0553273604|0553280325|0553280589|0553293761|0553560468|0553571591|0575061596|0590353403|0618002219|0618002227|0618002235|0618002243|0671015311|0671021001|0671525743|0671527215|0671786113|0679735909|0679751343|067976402X|0679879242|0679879250|0684833395|0684872153|0684874350|0743225406|0801957729|0804106304|080410753X|0804108552|0808520695|0812516214|0965834581|155166500X|1551667894|1551667959|1563898586|1573226882,"[0, 0, 0, 0, 0, 0, 9, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 5, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 5, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 8, 0, 10, 7, 8, 10, 9, 8, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 9, 9, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 6, 0, 7, 0, 9, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 9, 9, 8, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
383,,18.0,4.0,1.9444444444444444,3.8877215801761476,18.0,0.8333333333333334,1997.2777777777778,26.72222222222217,0.2222222222222222,0.5093565349853211,Fiction|Thrillers|Romance,0060188731|0140374248|0142001740|0312995423|0380704587|0380815923|0385416342|0385418493|038542471X|0449005410|0449202631|0449207544|0515128554|0517577402|067103619X|0743411269|0743470389|0767905938,"[0, 0, 0, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 10, 0, 5, 0, 0]"
388,35.0,14.0,9.0,4.714285714285714,4.121772796869205,14.0,0.8571428571428571,1996.5,27.5,0.6428571428571429,0.5038480459826395,Fiction|Literary|Suspense,0060173289|0060973897|0060976845|006101351X|0316666343|0440224675|0440234743|0449002632|0449213773|0452279690|0553569058|0679427430|1573225126|1878424319,"[0, 8, 3, 6, 0, 0, 0, 7, 10, 10, 10, 0, 5, 7]"
408,17.0,8.0,1.0,1.125,3.181980515339464,8.0,0.875,1991.75,32.25,0.125,0.5965767049077969,Fiction|Fantasy|Mystery & Detective,0345297709|0345313097|0345335465|0385333404|044021145X|0449212084|0553582682|0843136685,"[0, 0, 0, 0, 0, 0, 9, 0]"
