User-ID,ISBN,Rating
276746,0425115801,0
276746,0449006522,0
276746,0553561618,0
276746,055356451X,0
276746,0786014512,0
276747,0060517794,9
276747,0451192001,0
276747,0609801279,0
276747,0671537458,9
276747,0679776818,8
276800,0061054143,0
276800,0061054151,0
276800,0061056774,0
276800,0671021346,0
276800,0671024108,0
276925,002542730X,10
276925,0060520507,0
276925,0060930934,0
276925,0060951303,0
276925,0140154078,6
276925,0151010633,0
276925,0316666343,0
276925,0345391810,0
276925,0385504209,8
276925,0439284031,0
276925,0449221148,0
276925,0451527747,0
276925,0486282112,0
276925,0486424499,0
276925,0613329740,0
276925,067172939X,0
276925,0671729438,0
276925,0679745580,0
276925,0804106304,0
276925,0971880107,0
276925,1853262404,0
276925,2742739351,0
276925,8423662152,0
276925,8495501090,0
276925,8495501198,0
276925,950491036X,10
276928,059030271X,5
276928,0590453661,0
276928,0590483404,0
276928,0671021354,10
276928,0671026283,10
276928,0671727109,0
276929,0060964049,0
276929,0380807343,0
276929,0439064864,0
276929,2020564777,6
276929,2070404587,10
276929,2070406962,0
276929,2070725804,0
276929,2226070109,0
276929,2226135022,0
276929,2253049417,0
276929,2266102621,10
276929,2266104535,2
276929,2277302228,0
276929,2290308285,0
276929,2290312924,0
276929,2895400644,0
276929,2907572121,0
276939,0140187758,0
276939,0316154601,0
276939,059035342X,0
276939,0971880107,0
276939,2070419657,7
276939,2253063339,9
276939,2253144452,9
276939,2264027134,0
276939,226612269X,9
276939,2290318329,0
276939,8423310353,8
276964,0345348664,0
276964,0345348672,10
276964,0345354621,10
276964,0345385764,0
276964,0345435036,10
276964,0425104273,9
276964,0425172546,0
276964,0440218667,5
276964,0440220602,9
276964,0451180054,0
276964,0451198514,0
276964,0515131520,6
276964,0553266306,0
276964,0684867621,8
276964,0765342987,0
276964,0812550307,10
276964,0843949163,8
276964,0886773741,7
276964,0886774802,8
276964,0886774829,8
276964,0886775426,9
276964,0886775957,10
276964,1572971835,0
276984,0590417827,0
276984,0590436465,9
276984,059043649X,9
276984,0590436503,0
276984,0590442988,0
276984,0590442996,10
276984,0590448595,9
276988,0061083259,7
276988,0061094404,8
276988,0440295653,0
276988,0671793489,8
276988,0684845768,0
277042,0060505885,0
277042,0061097101,0
277042,0312283709,8
277042,0312983271,0
277042,0380731851,0
277042,0446605484,7
277042,0446611212,8
277042,0451188454,0
277042,0609804138,9
277042,0671003755,0
277042,0743407067,0
277042,074343627X,8
277042,0971880107,2
277051,0099845008,5
277051,0330262130,10
277051,0385720920,10
277051,0393319296,0
277051,0553262505,7
277051,0805062971,0
277051,3257228007,0
277143,0061097101,0
277143,031286504X,10
277143,0345342968,9
277143,0345446860,0
277143,0375756981,0
277143,0553382411,0
277143,0671027662,0
277143,0767903382,8
277157,0312979517,5
277157,0316152196,0
277157,0316154059,5
277157,0316287555,0
277157,034541389X,0
277157,0345450175,6
277157,0345452550,7
277157,0380731851,0
277157,0380975017,0
277157,0399146504,7
277157,0399146687,7
277157,0399147101,7
277157,0399147322,0
277157,0399148337,6
277157,0399148450,0
277157,0399148639,6
277157,0399148728,8
277157,0399149783,0
277157,0399150870,0
277157,0399151451,7
277157,0399151478,0
277157,0425183181,5
277157,0440111323,0
277157,0440122147,0
277157,0440221463,0
277157,0446519480,0
277157,0449221512,0
277157,0670894184,0
277157,0671024094,7
277157,0679450408,6
277157,074320607X,7
277157,0743486226,7
277157,0812571118,5
277157,0971880107,0
277168,0380724987,0
277168,0380726246,0
277168,0425175405,0
277168,0440225701,0
277168,0446602485,0
277168,0553227041,0
277168,0553263226,0
277168,0553295098,0
277168,0553564994,0
277168,067102423X,0
277168,0671032658,4
277168,0812516001,0
277168,0812568710,5
277170,0425178102,0
277170,0446609404,0
277170,0446610038,0
277170,0451178017,0
277170,0553285920,9
277171,0345404114,0
277171,0375724400,0
277171,0385479565,0
277171,0425156028,0
277171,0449213013,0
277171,0449213730,8
277171,0449224449,8
277171,0451173139,7
277171,0553299506,0
277171,0553575937,0
277171,0553580930,9
277171,0804102511,9
277171,080410946X,8
277171,0804114986,0
277187,0312977263,0
277187,0375708413,0
277187,038081093X,0
277187,0425147762,0
277187,0440224705,0
277187,0452269865,0
277187,0515115649,0
277187,0515129941,0
277187,0671042858,0
277187,0679745203,9
277187,0743223543,0
277187,080505622X,0
277195,0060391626,10
277195,0060502258,0
277195,0060987561,0
277195,015644450X,0
277195,0316666343,0
277195,0316734837,0
277195,0330332775,10
277195,0345353404,0
277195,0345384202,0
277195,0345413881,0
277195,0345459407,0
277195,0375406328,0
277195,0375724672,0
277195,037582233X,0
277195,0385475721,0
277195,0385483503,0
277195,0385729332,0
277195,0394726413,0
277195,0399142789,0
277195,042511774X,0
277195,0440214424,0
277195,0440236673,0
277195,0446604801,0
277195,0446605484,0
277195,0446606189,0
277195,0446606383,0
277195,0446609323,0
277195,0449134482,0
277195,0449223345,0
277195,0553251996,0
277195,055326611X,10
277195,0553268880,0
277195,0553273604,0
277195,0553347756,10
277195,0553379615,10
277195,0553572997,0
277195,0670869902,10
277195,0671010115,0
277195,0671021001,10
277195,0671510053,0
277195,0671647458,10
277195,0679459618,0
277195,0679741666,0
277195,0679745203,0
277195,0679746048,0
277195,0684841347,0
277195,0804107149,0
277195,080410946X,0
277195,0811801802,0
277195,1558743669,0
277195,1571740562,0
277195,1573221856,10
277196,0425184463,0
277196,0449209733,10
277196,0553271644,7
277196,0670820555,0
277196,0671749013,0
277196,0743205812,0
277197,0316969680,8
277197,0375703861,7
277197,0440225442,8
277197,0743206045,0
277197,0743229878,6
277203,030700645X,8
277203,0307127923,8
277203,0307302016,8
277203,0307302636,8
277203,0380600129,0
277203,0380702843,0
277203,0380710404,0
277203,039480001X,9
277203,0394800028,9
277203,0394800184,9
277203,039480029X,8
277203,039480967X,8
277203,059044297X,9
277203,0590629719,10
277203,0717283194,8
277203,0717283208,8
277203,0717283364,8
277203,0717284832,8
277378,0140003185,0
277378,0140096825,0
277378,0312195516,7
277378,0380731851,0
277378,0385474016,0
277378,0446322180,0
277378,0446608955,4
277378,0451137965,0
277378,0553213296,0
277378,0553262807,0
277378,0553279378,0
277378,0553371835,0
277378,0670892963,7
277378,0670894494,0
277378,0671028375,0
277378,0671646575,6
277378,0671683993,0
277378,0684872153,0
277378,0684872730,0
277378,0689817851,0
277378,0749305401,0
277378,0804103658,0
277378,0804109729,0
277378,0804114986,5
277378,0812507452,4
277378,0812515560,5
277378,0812515595,4
277378,0812590554,0
277378,0971880107,0
277427,002542730X,10
277427,0060002050,0
277427,0060192704,0
277427,0060542128,7
277427,0060913509,0
277427,006092988X,0
277427,0060930535,0
277427,0060932139,0
277427,0060934417,0
277427,0061009059,9
277427,0061030430,0
277427,0062505319,0
277427,0064400859,0
277427,006440188X,0
277427,0099288850,0
277427,0140067477,0
277427,0140086838,0
277427,014029628X,0
277427,0140621792,0
277427,014100018X,0
277427,0141439742,8
277427,0142001740,0
277427,0152050167,10
277427,0156000024,0
277427,0310205719,0
277427,0312302487,0
277427,0312950934,0
277427,0312961006,0
277427,0312965966,0
277427,0312966091,0
277427,031298328X,0
277427,0316037451,0
277427,0316096199,0
277427,0316168688,0
277427,0316284955,0
277427,0316569321,0
277427,0316602051,0
277427,0316666343,0
277427,0316776963,8
277427,0316777730,0
277427,033031582,8
277427,0345285859,0
277427,0345311396,0
277427,0345327772,0
277427,0345334019,0
277427,0345338545,0
277427,0345339681,0
277427,0345347226,0
277427,0345361792,0
277427,0345404769,0
277427,0345404777,0
277427,0345404785,0
277427,0345408039,0
277427,0345412214,0
277427,0345413903,10
277427,0345436911,0
277427,0373484232,0
277427,0374199698,0
277427,0375700129,0
277427,0375703764,0
277427,0375727132,0
277427,0375751513,9
277427,0380600129,0
277427,0380702843,8
277427,0380710218,0
277427,0380718332,0
277427,0380718758,0
277427,0380791978,9
277427,038081904X,9
277427,0380820048,0
277427,0380897822,0
277427,0385424736,9
277427,0385482388,0
277427,0385484518,0
277427,0385486804,9
277427,038548951X,0
277427,0385503857,9
