User-ID,Age,avg_rating,rating_std,total_ratings,explicit_ratings,unique_books,author_diversity,avg_book_year,recency_score,explicit_ratio,exploration_score,Age_Final,user_cluster,top_genres
17,,3.5,3.0166206257996717,6.0,4.0,6.0,5.0,1992.5,31.5,0.6666666666666666,0.8333333333333334,34.0,2,"Fiction, Literary, Romance"
99,42.0,5.142857142857143,4.099941927579439,7.0,5.0,7.0,7.0,1999.7142857142856,24.28571428571422,0.7142857142857143,1.0,42.0,2,"Fiction, Romance, Historical"
114,57.0,8.571428571428571,0.9759000729485334,7.0,7.0,7.0,6.0,2001.142857142857,22.85714285714289,1.0,0.8571428571428571,57.0,1,"Fiction, Thrillers, Suspense"
165,62.0,3.6,3.781534080237808,5.0,3.0,5.0,5.0,1998.0,26.0,0.6,1.0,62.0,1,"Fiction, Thrillers, FICTION (FICTIONAL WORKS BY ONE AUTHOR)"
243,,1.643835616438356,3.216147898641489,73.0,16.0,73.0,50.0,1998.342465753425,25.657534246575324,0.2191780821917808,0.684931506849315,34.0,4,"Fiction, Thrillers, Literary"
244,,7.625,1.1877349391654206,8.0,8.0,8.0,7.0,1997.625,26.375,1.0,0.875,34.0,2,"Fiction, Literary, Psychological"
254,24.0,1.6768292682926829,3.337711599155642,164.0,34.0,164.0,109.0,1996.28025477707,27.719745222929987,0.2073170731707317,0.6646341463414634,24.0,4,"Fiction, Romance, Fantasy"
383,,1.9444444444444444,3.887721580176148,18.0,4.0,18.0,15.0,1997.2777777777776,26.72222222222217,0.2222222222222222,0.8333333333333334,34.0,4,"Fiction, Thrillers, Romance"
388,35.0,4.714285714285714,4.121772796869204,14.0,9.0,14.0,12.0,1996.5,27.5,0.6428571428571429,0.8571428571428571,35.0,2,"Fiction, Literary, Thrillers"
408,17.0,1.125,3.181980515339464,8.0,1.0,8.0,7.0,1991.75,32.25,0.125,0.875,17.0,4,"Fiction, Fantasy, Mystery & Detective"
424,29.0,2.5454545454545454,3.559877423834601,11.0,4.0,11.0,11.0,1999.5454545454545,24.454545454545496,0.3636363636363636,1.0,29.0,4,"Fiction, Literary, Family Life"
446,,2.833333333333333,3.880799667672381,12.0,5.0,12.0,11.0,1996.4166666666667,27.583333333333258,0.4166666666666667,0.9166666666666666,34.0,4,"Fiction, Mystery & Detective, Literary"
476,,2.1666666666666665,3.488074922742725,6.0,2.0,6.0,6.0,1994.6666666666667,29.333333333333258,0.3333333333333333,1.0,34.0,4,"Fiction, Mystery & Detective, Women Sleuths"
486,31.0,4.6,4.219004621945797,5.0,3.0,5.0,5.0,2001.0,23.0,0.6,1.0,31.0,2,"Fiction, Literary, Southern"
487,,1.3333333333333333,2.834313555930842,21.0,4.0,21.0,18.0,1998.7619047619048,25.238095238095184,0.1904761904761904,0.8571428571428571,34.0,4,"Fiction, Literary, Romance"
503,40.0,5.1875,4.805812452992036,16.0,9.0,16.0,16.0,1995.625,28.375,0.5625,1.0,40.0,2,"Fiction, Biography & Autobiography, Mystery & Detective"
505,51.0,5.333333333333333,4.06201920231798,9.0,6.0,9.0,9.0,1994.3333333333333,29.666666666666742,0.6666666666666666,1.0,51.0,1,"Fiction, Fantasy, LGBTQ+"
507,,2.6823529411764704,3.919462319496079,85.0,28.0,85.0,56.0,1996.845238095238,27.154761904761926,0.3294117647058823,0.6588235294117647,34.0,4,"Fiction, Mystery & Detective, Juvenile Fiction"
595,17.0,7.4,4.159326868617084,5.0,4.0,5.0,5.0,1999.2,24.799999999999955,0.8,1.0,17.0,2,"Fiction, Romance, Contemporary"
619,,4.285714285714286,4.111540089159037,7.0,4.0,7.0,7.0,2000.142857142857,23.85714285714289,0.5714285714285714,1.0,34.0,2,"Fiction, Religion, Spirituality"
626,41.0,2.0,4.47213595499958,5.0,1.0,5.0,3.0,1997.3333333333333,26.666666666666742,0.2,0.6,41.0,4,"Fiction, Classics, Literary"
638,20.0,6.464285714285714,4.36500249178013,56.0,39.0,56.0,41.0,1998.5535714285716,25.44642857142867,0.6964285714285714,0.7321428571428571,20.0,2,"Fiction, Literary, Romance"
643,23.0,4.904761904761905,4.217875791257513,21.0,13.0,21.0,10.0,1997.8,26.200000000000045,0.6190476190476191,0.4761904761904761,23.0,0,"Fiction, Mystery & Detective, Police Procedural"
651,26.0,4.857142857142857,3.3479532865306245,14.0,10.0,14.0,13.0,1995.0,29.0,0.7142857142857143,0.9285714285714286,26.0,2,"Fiction, Humor, Thrillers"
709,14.0,8.285714285714286,2.5634797778466227,7.0,7.0,7.0,6.0,1997.857142857143,26.14285714285711,1.0,0.8571428571428571,14.0,2,"Juvenile Fiction, Action & Adventure, Fantasy & Magic"
728,,0.7142857142857143,1.889822365046136,7.0,1.0,7.0,5.0,1993.7142857142856,30.28571428571422,0.1428571428571428,0.7142857142857143,34.0,4,"Fiction, Thrillers, Action & Adventure"
735,29.0,3.75,4.0579140782755205,16.0,8.0,16.0,16.0,1997.625,26.375,0.5,1.0,29.0,2,"Fiction, Thrillers, Suspense"
741,16.0,1.16,2.9676028485406647,25.0,4.0,25.0,21.0,1998.12,25.88000000000011,0.16,0.84,16.0,4,"Fiction, Mystery & Detective, Thrillers"
746,36.0,4.2,4.024922359499621,5.0,3.0,5.0,5.0,1993.0,31.0,0.6,1.0,36.0,2,"Fiction, FICTION_ACTION & ADVENTURE, FICTION_FANTASY_GENERAL"
776,23.0,6.4,3.646916505762094,5.0,4.0,5.0,4.0,1994.8,29.200000000000045,0.8,0.8,23.0,2,"Fiction, Literary, Literature & Fiction"
